Date,Open,High,Low,Close,Adj Close,Volume,Forward Returns,MA20,MA200,MA_Signal,RSI,RSI_Signal,MACD,MACD_Signal,MACD_Hist,%K,%D,Stoch_Signal,BB_High,BB_Low
2010-10-27,1.3827159404754639,1.3827159404754639,1.3590120077133179,1.3590120077133179,0.7219005823135376,4458796,0.017291677340436296,0.688323712348938,0.5085940447449684,1,65.69097429934696,0,0.03241963640157286,1,0.0020900060363309575,60.346359855574235,67.80181704010255,0,0.7704839046001049,0.6061635200977711
2010-10-28,1.3669129610061646,1.3985179662704468,1.3669129610061646,1.3827159404754639,0.7344920039176941,31482421,0.011363260283153764,0.6916813939809799,0.5100791305303574,1,68.55044898474027,0,0.03175114363209208,1,0.0011372106134801413,61.616285381883706,62.94376849046251,0,0.7756065178014027,0.6077562701605572
2010-10-29,1.3906170129776,1.430122971534729,1.3827159404754639,1.3985179662704468,0.7428858280181885,38449687,0.05495890659179481,0.6956686168909073,0.5116448991000653,1,70.32596369990937,1,0.03153515214684477,1,0.000736975302586259,65.3725788753153,62.44507470425774,1,0.7813500433456979,0.6099871904361167
2010-11-01,1.4222220182418823,1.4775300025939941,1.406419038772583,1.4775300025939941,0.7848567962646484,26700890,-0.032611394681493544,0.7021741151809693,0.513381808847189,1,77.24395996410598,1,0.03435466452254421,1,0.002845190142628559,79.51394822092703,68.83427082604202,1,0.7939783011118768,0.6103699292500617
2010-11-02,1.4696290493011475,1.4775300025939941,1.430122971534729,1.430122971534729,0.7596743702888489,13854796,-0.011111608524155492,0.7080500602722168,0.5150121633708477,1,67.13136852928645,0,0.03416332354791407,1,0.002123079334398731,83.48216827556014,76.1228984572675,1,0.7987733202903606,0.617326800254073
2010-11-03,1.430122971534729,1.4617279767990112,1.406419038772583,1.4143199920654297,0.751279890537262,15286218,-0.028330441879558244,0.713506281375885,0.5166005454957485,1,64.1179565697521,0,0.03295444179503837,1,0.0007313580652184223,83.33332435269828,82.10981361639516,1,0.8007815511401383,0.6262310116116317
2010-11-04,1.4222220182418823,1.430122971534729,1.3748140335083008,1.3748140335083008,0.7302944660186768,17716218,-0.023256757502119196,0.7172836631536483,0.5180646435916424,1,57.20483206762022,0,0.029957712063581554,0,-0.0018122973329907158,67.2839299088654,78.03314084570795,0,0.800504647733598,0.6340626785736987
2010-11-05,1.3827159404754639,1.406419038772583,1.3353079557418823,1.3432090282440186,0.7135061621665955,17134031,0.005865653409431404,0.7206413269042968,0.5193673710525036,1,52.34272232578256,0,0.025929210547161907,0,-0.004672639079528293,44.60210067627039,65.07311831261136,0,0.7973045877073366,0.6439780661012571
2010-11-08,1.3432090282440186,1.3590120077133179,1.3274070024490356,1.3511110544204712,0.717703640460968,22285125,-0.011765243556990435,0.724208864569664,0.5206523723900318,1,53.40897618827516,0,0.02281232915980691,0,-0.006231616373506634,26.055874286535214,45.98063495722368,0,0.7929425375487044,0.6554751915906237
2010-11-09,1.3590120077133179,1.3669129610061646,1.3353079557418823,1.3353079557418823,0.7093091607093811,22086421,0.005899590147559031,0.726517254114151,0.5219147579371929,1,50.95371741646438,0,0.019440713401384424,0,-0.007682585705543296,10.526264244095174,27.06141306896693,0,0.789775104251895,0.663259403976407
2010-11-10,1.3432090282440186,1.3590120077133179,1.3353079557418823,1.3432090282440186,0.7135061621665955,15159656,-0.029853061876027376,0.7286157965660095,0.5232174853980541,1,52.13839532816103,0,0.016912391047054776,0,-0.008168726447898358,10.526264244095174,15.702800924908525,0,0.7870383522975438,0.6701932408344752
2010-11-11,1.3353079557418823,1.3353079557418823,1.2799999713897705,1.3037029504776,0.6925206184387207,18802125,-0.018348639786161247,0.7296650618314743,0.52443464204669,1,46.13752456187806,0,0.013064717440190554,0,-0.009613120043810063,9.262907599170871,10.105145362453746,0,0.7845989061057674,0.6747312175571811
2010-11-12,1.2958019971847534,1.2958019971847534,1.1851849555969238,1.2799999713897705,0.6799296736717224,37815609,0.06569480068162037,0.7302946269512176,0.5256082026660442,1,42.943920448345054,0,0.00889686682730062,0,-0.011024776525359999,18.319435850229496,12.702869231165186,1,0.7825817222403451,0.6780075316620902
